id,make,model,year,vin_number,number_of_seats,car_type_name,licenseplate_number
1646,Mitsubishi,Eclipse,1998,WBABN33482P161133,3,D,CL2P70YJJ
1647,Pontiac,6000,1983,1FMCU4K33AK400746,6,E,OIWL16OEY
1648,Kia,Rondo,2010,3FADP4AJ4BM788945,2,D,OT62V9DBU
1649,Mercury,Topaz,1988,1GD21XEGXFZ862999,3,A,JDH8K1YUJ
1650,Audi,S4,2010,1G6DP1E3XC0904113,5,D,FBV5B7OCV
1651,Dodge,Ram 3500,1999,JN8AS5MT3CW272001,7,A,KPJWS6WUB
1652,Subaru,Tribeca,2012,WBA3V7C53EP549346,1,E,SKCD4EZR5
1653,Mercury,Grand Marquis,1990,KMHDB8AE2BU246852,2,D,AO42G9VAG
1654,Acura,NSX,1996,JTJHY7AX0D4890673,3,E,SJBKVOELR
1655,Hyundai,Accent,2012,2C4RDGCG9CR793404,7,D,GEOVXHTGY
1656,BMW,5 Series,2010,JHMZF1D4XFS198767,6,C,CZXBPLQKM
1657,Porsche,Panamera,2012,WAUKH98E68A124055,6,D,DS8MJUTEC
1658,Chrysler,Pacifica,2004,WBA3R5C52EK051256,2,B,YYO0MTWJY
1659,Mazda,,1994,WBADW3C54BE750139,7,B,GJ4UUFTSC
1660,Infiniti,Q,1995,1G6AT5S39F0671193,2,D,ZZHL6LMAA
1661,Ford,Taurus,1989,3VWAL7AJ3AM669905,9,D,VLX92AMEP
1662,BMW,1 Series,2009,WAUJFAFH4EN085678,4,E,YQL1CYMLO
1663,Scion,tC,2011,2C3CCAJG8EH197772,2,A,ZR38KXVX3
1664,GMC,Savana 3500,2009,JTJBC1BA6E2537671,4,B,RIRX8MHQA
1665,Audi,A8,1997,1FTNF2A58AE487217,9,C,TCW8BQCLB
1666,Porsche,Boxster,2005,ZFBCFAAH5EZ487644,8,D,FEBBI9NBK
1667,Ferrari,612 Scaglietti,2006,19XFB2E56CE911627,7,B,QV11HSZVU
1668,GMC,Savana 3500,2006,WAULK98K19N308793,9,C,YOJWHPLI7
1669,Honda,Ridgeline,2008,WDBSK7BA0CF868906,6,B,FC7H3HVFZ
1670,Kia,Spectra,2001,WAU2GAFCXEN150524,1,C,HEXHAITDH
1671,Toyota,FJ Cruiser,2008,5GAER23D29J188096,9,A,ZZMYPZPXJ
1672,,Continental Mark VII,1992,JN1AV7ARXFM297603,5,D,QB16UVIP4
1673,Volkswagen,Golf,1993,WBA3B9C51EJ653017,1,A,ASV89ERJZ
1674,Honda,,2001,SAJWA6BC8F8767236,1,B,UBFF8EYSA
1675,Mitsubishi,Expo,1993,WAUCFAFH8AN970906,9,C,ZSP811KEA
1676,Volvo,XC90,2008,1FTEX1E82AK662316,9,A,QC99X1RXS
1677,Ford,E150,2005,WAUSF98E46A413017,7,C,CCG3E5JB1
1678,Mitsubishi,Starion,1984,SCBZK22E02C544332,7,C,BFINR5KIB
1679,Pontiac,Firebird,1990,JN1CV6AP5FM712991,6,D,TOC0UYWIX
1680,Chevrolet,G-Series G30,1994,WAUAFAFL7BN297765,6,E,UJBJH7IWE
1681,Dodge,Stealth,1995,WBA3R1C55EK438988,9,C,HE4BDAVAB
1682,Ford,Escort ZX2,2003,1G4HR57Y48U576661,1,A,HUCMA8JLD
1683,Ford,Mustang,1973,WAUEH74F26N999588,4,C,FWXUBVSV3
1684,Volkswagen,Routan,2009,2T2BK1BA9FC065485,9,A,IIXI12XK2
1685,Subaru,Impreza,2006,SCBFU7ZA7FC367751,2,A,MMHJ2ELU6
1686,Porsche,911,1990,1GD01ZCG4CF147347,5,E,CMW6C9UUI
1687,,,1995,5N1AN0NU5EN940026,7,A,ZCWDUWHAX
1688,Dodge,Aspen,1976,1G6AC5SX7D0550582,6,C,TO4PPNNAI
1689,,Probe,1991,1G6AB5SX0F0763444,4,B,QGD0SQCYK
1690,BMW,Z4 M Roadster,2009,4JGDF2EE9FA947973,3,D,DAQQT4IHY
1691,Toyota,Celica,1998,SALAG2D41CA622719,8,C,SM5O66XR9
1692,Mercedes-Benz,SLR McLaren,2005,1N6BF0KMXFN303576,7,B,VN4M2CIE7
1693,Kia,Sedona,2003,5NPDH4AE0EH223631,5,E,YK3FCKZO9
1694,Infiniti,FX,2007,WAUGVAFR5BA468506,2,C,FODNTDKWY
1695,Subaru,Legacy,1989,1G6DE5E57D0577752,3,D,OP8ZSDLBC
1696,Mazda,Protege,1996,3N1CE2CP3FL349333,2,C,HXWRU8XMC
1697,Chevrolet,Tahoe,1999,3C63D3HL1CG467694,4,A,KKI46GNHT
1698,Mazda,Tribute,2011,WAUEF78E47A427325,5,B,WJPXZLMWK
1699,Buick,Skylark,1985,1D7RB1GT7AS281992,6,D,XXGVJQLAK
1700,Chevrolet,Corvette,1998,1GYS3KEF2ER103541,4,C,FK6WVPQOE
1701,Mercedes-Benz,CLK-Class,2001,WBAUP7C57BV921342,2,D,QDOPBHKJ1
1702,Ford,Laser,1985,1HGCR6F5XFA301033,3,B,WZRLSFQYY
1703,Ford,Mustang,1999,1FMJK1JT8FE693871,9,E,TEHBKAIHS
1704,Toyota,FJ Cruiser,2011,WAUFMAFCXEN959368,9,D,CVXC0BHHS
1705,Ford,E-350 Super Duty,2006,WBAYE4C5XED537605,7,A,JWA5S7SH3
1706,BMW,1 Series,2011,WBAAZ33474K892605,2,E,OL0GJESSP
1707,Mazda,Millenia,2000,1G4GG5E30DF286215,2,B,ALPPJ6ATM
1708,Plymouth,Fury,1964,JN1AZ4EHXEM776882,9,D,BMBDAVSJ6
1709,Honda,Accord,2001,JTEBU5JRXA5303018,3,D,GPEERIBMQ
1710,GMC,Savana,2009,2G4WB52KX41634678,1,E,HM0G4WFT7
1711,Mitsubishi,Eclipse,2006,WBSPM93509E918547,9,A,DKY45HCT2
1712,Nissan,Quest,2004,1GYFC26279R406706,3,E,TXQAYNRGZ
1713,Chevrolet,HHR,2009,WA1VGBFP9EA124846,9,C,UOTF0QAJI
1714,Volkswagen,Tiguan,2012,JN1CV6EK4EM759541,3,C,SHGVGKHGE
1715,Dodge,Ram 1500,2007,WAU4FAFR8DA652941,4,E,AEXL2VDIB
1716,Chevrolet,G-Series G10,1993,1FTMF1EW0AK976575,7,B,RH0YKGLPV
1717,Volkswagen,Jetta,1995,WBAKX8C58BC842447,3,A,WCCO8MGZP
1718,Chevrolet,Silverado 1500,2006,1G6DL8EY7B0386847,6,C,FAGBREKA6
1719,Toyota,Corolla,2009,1G6DJ8EY1B0775229,1,B,YUWY9TNG9
1720,Mazda,MX-5,2008,1G4PP5SK7C4607057,2,A,QBWOLXMRH
1721,Buick,LeSabre,1993,WBXPC93409W543287,5,C,XUO8G5CMG
1722,Land Rover,Freelander,2004,1FTWX3A57AE562545,8,A,QL5ZYIHNK
1723,Mitsubishi,Galant,2005,WVWAA7AH1AV019790,3,A,KWNWS5VZM
1724,Nissan,Sentra,2012,WAUAKAFB7AN760523,5,B,PM8MCVAA9
1725,Mercedes-Benz,M-Class,2008,JN8AZ2KR2ET313188,8,E,EO2P0QDE7
1726,Ford,F150,2005,WAUFFAFLXDN160487,2,E,VQL4U2TR8
1727,Bentley,Mulsanne,2011,WAUFEBFM0BA595329,2,B,XA54O8VRV
1728,Suzuki,XL-7,2004,3D73Y4HLXBG262611,4,E,KVNVPTUYS
1729,Aston Martin,Vantage,2007,1D4PT2GK2AW843921,9,D,SMLKE5WGP
1730,Mazda,Miata MX-5,2005,5N1AA0ND9EN598303,2,A,MGMON8DRE
1731,Volkswagen,Touareg,2003,1GYEC63T54R806451,8,D,ADMDVAVZI
1732,Ford,Fiesta,2011,WA1BY74L37D105529,8,D,VAK3M7SQO
1733,Toyota,Land Cruiser,1998,3D7JB1EK8BG498225,5,B,AW8BZ8KR5
1734,Pontiac,Sunbird,1986,4T3BA3BB2CU342023,8,D,KJWXVTQXG
1735,Buick,LeSabre,1998,JH4KC1F34EC467076,8,C,CU651TQYM
1736,Volkswagen,Fox,1988,2C3CDYCJ3CH678072,9,E,FYMWZEBLL
1737,Lincoln,Mark VIII,1996,1GKS1KE08ER286648,2,C,DM5XWHKZW
1738,Toyota,Tundra,2002,WAUDF78EX5A115003,8,C,IETU45VS9
1739,Jeep,Wrangler,2001,NM0AE8F7XE1159471,6,A,CP6YOYDP8
1740,Ford,Probe,1990,WVWAA7AH5BV592063,6,A,WEPUIGVPY
1741,Lincoln,MKX,2009,WBAYB6C53FD915267,9,A,DQSQ3MQW5
1742,Chevrolet,1500,1997,SALFR2BG1DH676589,6,B,SLDWFTKNM
1743,Ford,Windstar,1996,KNADH4A33A6180113,8,C,RI8S44ID1
1744,Mazda,Millenia,1999,KMHHT6KD0DU398608,7,B,AM15SEYXA
1745,Austin,Mini,1959,WVWED7AJ3BW686383,9,E,MI4GX0DZ2
1746,Audi,Q7,2009,JH4CU2F65AC166294,5,C,NLXAC5EY6
1747,Volkswagen,Type 2,1986,WBAKC8C54AC078235,9,E,RKUM7WEQL
1748,Audi,S6,2003,JM3KE2BE5F0923458,9,B,EVHRXZZF6
1749,Hyundai,Accent,2011,WBA3B9C54EP783421,3,D,KYZMTVUAN
1750,,Esprit,1997,WAUXU64B22N629313,1,C,QO06E3OWZ
1751,Chevrolet,Silverado 1500,2000,1GD312CG8BF307880,2,A,BAXWHUYKX
1752,Pontiac,Montana,2005,2C3CA5CV8AH066554,2,D,YNV2ZOBN5
1753,Pontiac,Firefly,1990,1N6AF0KY7EN626934,4,B,CTD4WUMJD
1754,Cadillac,Escalade EXT,2009,2C3CDXJG2EH419979,6,E,TJVWC6FQN
1755,Nissan,Quest,1998,1G6YV36A895971210,8,D,TXEKX1XZ8
1756,Cadillac,DeVille,2002,JN8AE2KP3C9526879,2,B,TZU7BLJOJ
1757,Ford,Crown Victoria,1996,1G6AB5SX1F0072536,2,C,GH5QJMGMG
1758,Honda,Accord,1998,3N1AB7AP8FY197598,2,D,YHDAMAAVN
1759,Ford,E250,2005,YV1612FS2E1721007,9,A,VTC1P8LRZ
1760,Nissan,Quest,2012,5NPDH4AE6BH115008,8,E,WXZG0NFPS
1761,,Tredia,1988,YV4902NB1F1631224,3,E,KHPXDIHUM
1762,BMW,M3,2011,WBAGL83594D880638,5,C,NCMQPYTQX
1763,Chevrolet,1500,1994,JN1CV6FE7DM561768,9,A,MH92O7RCA
1764,Acura,MDX,2004,2HNYD18863H128129,2,C,LOPTNOWKO
1765,,Chariot,1991,SCFFDEDN9CG487620,1,B,CRT344AK3
1766,BMW,1 Series,2009,JN1AZ4EH0AM375254,1,D,AZCAJHUXS
1767,Cadillac,Seville,1997,WBADX1C5XCE132133,4,C,INLSMVXVM
1768,Ford,E-Series,1987,SCFAB05DX9G513465,6,B,NWHWNRQHW
1769,Mercury,Sable,1988,5FRYD4H64GB817120,1,B,SJPVDGYN5
1770,Ford,GT,2006,JN8AZ1MU5DW327188,1,A,VYZISQWKY
1771,Pontiac,1000,1986,1FMJK1G50EE877127,9,D,KZEAK0XR8
1772,Mazda,MPV,1991,5YMGZ0C5XE0801903,9,C,CBTY5KGKV
1773,Dodge,Daytona,1992,4T1BF1FK0CU066708,9,A,GJJU2XZU9
1774,BMW,M5,2008,1G6DA1E35E0791112,1,A,OT6UF0DTZ
1775,Mercedes-Benz,C-Class,2007,5N1AA0NC2EN553646,1,E,PD5I43EJD
1776,Land Rover,Range Rover Evoque,2012,WAUDL64FX5N060059,9,D,RY9AU7BC5
1777,Subaru,Outback Sport,2002,2G4WD582X91212273,7,E,MZK40RXL3
1778,GMC,Envoy XUV,2005,1GKUKFDJ6AR587470,7,D,NMD2YIYOF
1779,Mercedes-Benz,SL-Class,2002,TRUUT28N131809662,3,D,MY2M0FOXB
1780,Ford,Escort,1989,3GYFNGEY5BS746808,7,B,CODJC8ADD
1781,Lexus,LS,1993,1FTEX1E84AK868818,1,D,BME7ZNSL1
1782,Lexus,RX,2006,WAUXL68E85A147156,6,B,BMCDX2ZPW
1783,BMW,X5,2004,WAUNF98P28A977816,8,B,ELO853FG5
1784,Ford,Fiesta,2013,3N1CN7AP1EK047432,7,A,QUJMPZBM1
1785,Honda,CR-V,2002,1G6YV36AX65409160,4,B,EP78JZQM7
1786,Lotus,Esprit,1990,WVWAN7AN0DE078991,5,A,SG0UHQPGY
1787,Mercedes-Benz,SL-Class,1999,1GYEK63N55R855266,2,C,UK18FWLYO
1788,,Diablo,1992,1YVHZ8BA9A5899033,9,E,MCLHOFRHH
1789,Chevrolet,Blazer,1998,5GAKVBKD1DJ367657,9,A,JYRRJ4DCL
1790,BMW,M Roadster,2008,1VWAH7A36EC603908,6,E,ATHWZ6VSK
1791,Peugeot,207,2007,3C3CFFCR6FT802738,6,B,RGL4JXVUQ
1792,GMC,,1998,1G6KD57928U929001,6,D,PA2P8LEQC
1793,Lexus,LS,1997,WAUMF98K49N563463,4,C,ECFD0OVUR
1794,Volkswagen,New Beetle,2000,2G4WF551111145895,9,E,HJY28ACRA
1795,Chevrolet,Silverado 1500,2009,1D7RB1CP3AS655748,6,A,MFDGHVWWZ
1796,,Q,1993,KMHCM3AC9BU809502,1,A,XZ0ZV5DWO
1797,Volkswagen,GTI,1997,JM1NC2LF0E0929766,3,A,BXADKGEK6
1798,Mercedes-Benz,E-Class,1984,WP0AB2A83CS529126,6,C,XXXPZ2DVM
1799,Suzuki,Sidekick,1989,WBA3C1G54DN145589,8,C,GBJZGPLI4
1800,Ford,F-Series,2010,WAUFFAFLXFA069021,8,E,WXNV6JKDX
1801,Mazda,B-Series Plus,2001,JTJBM7FX9B5241312,7,D,VGMPREYDQ
1802,Saab,9-2X,2006,WAUDF98E78A466998,4,D,XCDMGRPAM
1803,Lexus,SC,1995,KMHGC4DD4DU591406,7,A,MZ4PO5HTT
1804,Acura,NSX,1997,1G6AA5RA9E0465106,7,E,GM0Q3IWAZ
1805,BMW,7 Series,2011,JH4KC1F32EC039412,4,D,MFXLDJPEJ
1806,Subaru,XT,1989,WAUDFAFL5AA571337,6,D,MG8JB5OF5
1807,Pontiac,1000,1985,1N6AA0CA3AN481241,5,A,UF3V0ODX4
1808,Mitsubishi,Cordia,1986,1FBNE3BL7DD040267,1,E,HGMOJPAK4
1809,Volkswagen,CC,2012,SAJWA1CZ9E8494179,4,E,HHYY4CESH
1810,,B-Series,1992,WDDLJ7GB2FA450686,7,E,BTZI0IBL1
1811,Suzuki,Swift,2000,5J6TF2H52FL571532,7,C,EV82XQRKB
1812,Chevrolet,Avalanche,2009,1G6KD5EY6AU588072,2,A,CNZYV2YHR
1813,,Grand Prix,1996,WBABS53453E317081,3,D,AG17EQHN9
1814,Ford,Econoline E150,1997,WBA3N3C57EF094726,2,B,OWOSFTNL6
1815,GMC,Sierra 3500,2003,WBA3V9C58FP553891,2,B,DIWA4FIZA
1816,Nissan,Maxima,2005,ZHWGU5BZ5DL279114,1,E,SQG4CXHZV
1817,Toyota,Celica,1998,WBA3A5C50EJ568861,3,E,THXMVHNK7
1818,Suzuki,,2008,2G61S5S31D9271392,6,B,HKWQR5WWB
1819,Toyota,Highlander,2012,3VWJX7AJ5AM124888,3,D,VMAG0AVV8
1820,,H1,2006,2C3CA3CV9AH488949,9,D,VB761YNIE
1821,,Astro,2000,YV140MEAXF1086215,1,C,WIWT5DEDW
1822,Acura,MDX,2009,3VWF17AT6FM707258,1,B,SVZZDLOXE
1823,GMC,Yukon,2006,WA1LKBFP4AA164669,9,B,ZJAKBGSGZ
1824,Acura,CL,1998,1FT7W2A66EE176781,7,B,JCPRJDOT4
1825,Jeep,Liberty,2002,WBAUU3C51AA473249,1,D,LX05TKNF2
1826,Acura,,2004,19XFA1E30AE084295,3,B,POHCVUWDD
1827,,ES,2010,WBAYP5C57ED788274,1,B,VYR2EFWOJ
1828,Lexus,ES,2000,SCBBR9ZA4AC253050,4,C,KDQ933UKX
1829,Audi,90,1995,WAUDFAFL9AA835157,6,E,SK0O30HOJ
1830,Mercury,Grand Marquis,1988,WUADUAFG7CN728537,5,A,WIHWYCUVN
1831,Mercedes-Benz,SL-Class,1992,WA1YD54B02N615504,8,B,AKBSG8TTO
1832,Mercedes-Benz,SLK-Class,2011,WAUMV94E99N145757,7,C,FUV1RXEID
1833,BMW,M5,2002,1FMJK1FT7FE255822,9,C,UDQMMWOYQ
1834,Honda,Insight,2006,WBAEK13486C592031,6,C,TJBD0RTR1
1835,Isuzu,Trooper,1998,1FTSX2B59AE226872,1,D,OT4L9QQK8
1836,Dodge,Ram Van 2500,1996,JN8AZ1MU9CW275935,6,C,UM7ENWHCP
1837,Honda,del Sol,1995,1G4HR54K51U894634,8,B,YD4Y40JKF
1838,Toyota,Prius,2011,SAJWA4EB5EL130338,2,C,XSND1TBMK
1839,Chevrolet,Silverado 2500,2001,1G6AZ5S31E0353677,4,D,HPHA3ICDG
1840,Mercury,Villager,1994,5N1AN0NU6AC062760,9,E,YJYK7FXYW
1841,Land Rover,LR2,2009,3D4PH6FV0AT840171,5,D,FT4658BHH
1842,Toyota,Land Cruiser,1996,SAJWA0HP2EM592379,9,D,XYJHX2KQK
1843,Pontiac,Sunbird,1990,5FNRL3H2XAB921585,8,E,WBO194IY2
1844,Mercedes-Benz,SLR McLaren,2008,WBADT33401G262163,6,E,KD4Q5XJEO
1845,Ford,LTD Crown Victoria,1988,WBAYF8C53FD779982,2,B,PNRMCYZFZ
1846,GMC,Sonoma,1995,1C6RD6LP3CS107552,1,B,MTAQY7VI5
1847,Chevrolet,Silverado 2500,2012,WP0AA2A96AS737378,3,C,TW4ERWSYC
1848,Chrysler,300,2008,1GD22XEG7FZ093097,1,C,IH7O0REDT
1849,GMC,,1994,WUARL48H64K499061,3,B,HVD2TIMYN
1850,GMC,Suburban 2500,1997,KMHEC4A47FA853774,6,A,JNDMCKDMP
1851,Ford,Edge,2009,WBAVC535X8A945851,2,E,QGY85JEQZ
1852,Mitsubishi,Galant,1989,WBAEW53475P397282,2,C,QXAPTMXWJ
1853,Audi,S4,1993,WBAKG1C59CE645459,9,B,WDHD6VIED
1854,Chevrolet,Express 2500,2000,WAUJC68E04A415718,6,B,KFOF9UQYO
1855,Chevrolet,Express 2500,2000,SAJWJ0EFXE8549087,5,B,ATP9NJQYH
1856,Nissan,GT-R,2011,KNDJT2A23D7370685,1,A,LBY8LXHJ5
1857,Pontiac,Firebird,1967,2C4RVAAGXCR323766,8,C,ZNRFUACKX
1858,Toyota,Celica,1994,SCFBF04B28G665392,2,E,PRVU0ETI8
1859,Volvo,960,1993,2T3BFREV1EW552626,9,A,HP1M5HDO6
1860,BMW,3 Series,1997,1C4SDJCT0FC454460,7,C,XI53FKTG0
1861,Isuzu,,1999,WAUDF98E95A472801,4,D,FHBCY1GFU
1862,Lexus,LX,2006,1G4HP54K754558298,6,B,NDCGBQBI4
1863,BMW,X5,2004,WDDLJ9BB0FA401117,4,B,UWND8OKGB
1864,Honda,Accord Crosstour,2011,2T1BU4EE8DC438673,6,C,WX8M4JGC5
1865,Nissan,Titan,2010,JN8AZ2KR5DT453752,2,C,MJEVZ9MT0
1866,Cadillac,,2008,1GD022CG5CZ716094,6,D,WCKRYQRZO
1867,GMC,Yukon XL 2500,2010,WAUGGAFC0CN631014,3,C,XZ9PH2UGE
1868,Infiniti,Q,2005,WBABD33484P138389,8,A,SQY0YNYJ7
1869,Buick,Riviera,1985,1G4HD57237U258586,6,A,YVU49SVFK
1870,Chevrolet,HHR,2010,1G6DK5E37D0498296,2,D,SYBZ5WCZI
1871,Buick,Skylark,1990,1G6DP577850300523,3,B,CZCZ8NFEY
1872,Pontiac,Sunfire,1998,1G6AJ1R33F0979108,3,E,FWXQ5DRMR
1873,Mitsubishi,Montero Sport,1998,1G6DM1E38C0674483,7,E,DHHEBIBLU
1874,Volkswagen,Golf,2010,3FADP0L34BR581949,1,C,UQ5MPAJTC
1875,Mercedes-Benz,G-Class,2012,WAUSH94F27N942761,6,A,CTGLIRZG8
1876,Volkswagen,Jetta,1998,1G4GA5ER8CF499871,5,D,RI5KQEWP9
1877,Pontiac,Grand Prix,1977,1N6AF0KX9EN221195,2,C,GLNFTZMNV
1878,Bentley,Continental Super,2010,SCFEBBBK9DG831053,4,C,DWWQG0MK6
1879,Hyundai,Veloster,2013,WAUKF98E08A625495,2,A,VFFF49FOH
1880,Acura,Vigor,1992,1FMCU4K33CK986755,7,B,BDKCIWPJ4
1881,,Passport,1996,WAUFFAFL5BA810363,7,A,PCK2TLQVE
1882,Volkswagen,Jetta,2004,TRUUT28N161254569,3,D,BQ113AWYU
1883,Ford,Escort,2000,WBAEN33474P982059,8,E,YMGLC6UBU
1884,Infiniti,QX,1997,WAUVT68E25A478614,3,B,UPMBJLTEV
1885,Eagle,Talon,1998,WAUDG98E76A757978,1,C,GHHUGQZGE
1886,Nissan,Murano,2009,1FTEW1CW1AF126051,2,D,BGX9NNOB2
1887,Chevrolet,Camaro,1995,SCFAB01A28G038954,3,B,XSCJX3KKH
1888,Mitsubishi,Diamante,2003,JM3KE2BE9F0379806,9,D,BUKDHRGM3
1889,,CR-V,2004,5XYKT3A19CG813148,8,C,SYBQRXAK7
1890,Volvo,V90,1998,1G4GB5EG6AF495813,5,D,UCCAD3SYK
1891,BMW,5 Series,2011,2B3CA4CD9AH748440,5,C,HPEUICMG4
1892,Honda,Pilot,2005,1N6AF0LX1FN936052,7,E,KF0KNADI4
1893,Pontiac,Grand Prix,2006,KNDKG3A21A7938216,5,E,INKCEMWQP
1894,Chevrolet,Impala SS,1994,1G4CW54K634432881,6,C,KQ2BNEZA9
1895,Honda,Civic,1985,WAUVC68E53A408926,6,D,FENMA3DKF
1896,Acura,TL,2008,2G4WN58C991917748,2,A,AHFGGHIG8
1897,GMC,Savana 1500,2012,1N6AD0CW8EN789983,5,B,SFQZUINEM
1898,Mitsubishi,Lancer,2001,5TDBK3EH6CS101239,8,C,AJ0LZ2SER
1899,Mercedes-Benz,M-Class,2005,JH4CU2F49CC451498,5,D,ELS97RREP
1900,Porsche,Cayenne,2003,JTDBT4K31A1120058,6,A,VXNO9VKPJ
1901,Toyota,MR2,2000,WAU3FAFR8DA346804,8,A,QUPN1QSTT
1902,Chevrolet,2500,1993,JTHKD5BH9B2905422,6,C,ZNUQC8GHK
1903,Ford,Crown Victoria,2004,1G6DG8E59D0204532,8,A,WC1QYAOT4
1904,GMC,1500,1997,WDDEJ8GB2AA033026,4,A,VYI6S5QEF
1905,Ford,Escape,2006,1G6DH8EG3A0939646,7,E,KCQ4P6HVZ
1906,GMC,Yukon,2007,19UUA96269A590418,6,C,BTXJPXDG3
1907,Chevrolet,Camaro,1978,4T3BA3BB2CU270899,8,E,VCH2J1ROO
1908,Ford,Taurus,1989,5J6TF1H53DL511718,3,E,JWXFMFYZW
1909,,xD,2009,WAUSH78E86A821048,7,A,PKG6N9VA0
1910,BMW,M5,2006,JTEBW3EH9A2059153,6,B,TE3ZNZOM1
1911,Chevrolet,Monte Carlo,2007,WBAYF8C54ED344158,3,C,SQXQ8IZSS
1912,Oldsmobile,98,1994,KMHD35LH0FU008037,9,C,UWEQZLUTO
1913,Land Rover,Discovery,1995,1FTMF1E83AF855419,7,A,DUO69SBVX
1914,Ford,Aerostar,1996,JN1CV6FE6EM324979,6,B,SY7RUKKGZ
1915,Nissan,GT-R,2011,1FT7W2A62EE560878,1,C,ATF6MIJH2
1916,Toyota,Tundra,2012,1GD322CG5EF637204,5,A,GNN1ADGP4
1917,Jeep,,2007,1B3BD4FB7BN148201,7,A,DXB573US1
1918,Nissan,240SX,1994,5FNYF3H2XCB917123,2,E,TCCWE0DCH
1919,Porsche,Cayenne,2010,KMHTC6AD3EU952379,4,C,KY8IUMFS8
1920,Mazda,626,1986,1C4RDHAGXDC141877,8,A,JEP7OKYJD
1921,Mitsubishi,Precis,1990,JN8AE2KP5C9940665,6,D,FXZKHTJZ0
1922,Lexus,ES,1990,1G6AZ5S33E0860113,3,B,TUD311BMH
1923,Chevrolet,Express 2500,1998,5N1AN0NU3CN018819,9,A,MS04FGEFI
1924,Volkswagen,riolet,1992,WBAEV33432P598308,8,C,PLYIUVXFV
1925,Oldsmobile,Aurora,1996,1GD02ZCG0CF278692,7,D,PP9FUKSKQ
1926,,Tahoe,2007,3GYFNCE32DS590257,4,A,EP7GJPIVA
1927,BMW,600,1957,1N6AA0CA8BN019761,4,B,YNBOPQNBQ
1928,Ford,Mustang,2005,5N1AN0NW1EN828809,2,B,NRIJKAVY8
1929,Aston Martin,Vantage,2009,1G4PS5SK1E4548153,1,B,LKMS20ULQ
1930,Pontiac,Firefly,1995,WAUMF68P16A373603,4,A,FJP035BZ4
1931,Porsche,Boxster,2000,WP0AA2A84AU997709,7,C,LVH55WHQY
1932,Ford,F450,2011,1FTNF2A59AE491874,8,B,AXX1CRJKA
1933,,Murciélago,2006,WAUGL78E56A343546,3,A,PMDPJWPK1
1934,Nissan,Xterra,2007,2T3BF4DV9AW329006,9,B,KJ2YOGERB
1935,Volkswagen,Routan,2010,JH4CU2F45CC759946,3,D,GHJE4WVHI
1936,,924,1988,WAUAF98E57A002979,7,E,WQI1G0PL8
1937,Infiniti,G25,2011,WAUUL78E18A610011,3,A,SMXOXXGAR
1938,,RAV4,2009,WAUEH78E98A589415,8,C,FWRM4RNIE
1939,Mitsubishi,GTO,1999,WBAKA4C50BC859169,1,D,CH8S49UPN
1940,Buick,,1994,3VW467AT8DM214431,6,D,BUWIGLDVV
1941,Honda,del Sol,1997,WVGEP9BP8FD866641,4,B,NA2XO4ATH
1942,Ford,Crown Victoria,2002,WA1DGBFEXED089419,9,B,DA5MBBJWJ
1943,Dodge,Ram,2010,WBA3B5G52FN042958,1,B,HOAYYFVAX
1944,Chevrolet,Corvair,1960,1C4RDHAG7EC055265,9,A,ED8G2TUAQ
1945,Honda,Civic,2002,WAUAFAFL9BN710270,6,D,MKZC0RCLP
1946,Infiniti,M,2010,JN1AY1AP3CM108529,9,E,MJSGNDVKX
1947,Infiniti,QX,2011,1J4PR4GK9AC738280,4,D,CVVV5NCF3
1948,Chevrolet,G-Series G20,1995,5TDDCRFH0ES864139,6,B,BYU15KZNX
1949,Infiniti,G,2007,1G6AJ5SX5D0817000,1,E,MK24C4XBE
1950,Geo,Metro,1993,YV4612HM8F1104083,9,C,AYERWMFPI
1951,Mercury,Capri,1984,JTHDU1EF0A5761591,1,B,JQLDA7SO9
1952,Volvo,C70,1998,WAUFFAFM3AA837889,5,C,MOCMQYUJ8
1953,Ford,EXP,1988,JN8AZ1MU8AW577844,7,A,AN9I8RRF9
1954,Chevrolet,Silverado,2011,2B3CK3CV0AH475680,8,C,KKJOC9XOZ
1955,Chevrolet,Blazer,1995,1GYS4FEJ7CR390610,2,A,TEISWQWYB
1956,Kia,Rio,2011,WBA1J9C57FV945808,2,C,UNR95ONJE
1957,Lexus,CT,2012,SCBBR9ZA9DC283133,2,D,JV3NPDVGL
1958,Pontiac,Fiero,1987,JTHHE5BC4F5175094,3,C,ROGFW9WJT
1959,,Suburban 2500,2004,WVGAV3AX5DW547265,9,A,XMH7EPIEQ
1960,Pontiac,Firebird,2000,WAUSH74F18N567791,3,A,BK2QTBZP9
1961,BMW,7 Series,2000,WAUBNBFB4AN685734,6,A,AP4NVHFX9
1962,Honda,Pilot,2006,1FTNS2EW3AD597015,8,A,XU4NTIWY0
1963,Lotus,Elise,2008,WBASN2C52AC155403,9,D,BRRXVQWBT
1964,Mazda,B-Series Plus,1997,TRUXD38J191082545,5,A,CFRLGKSVR
1965,Ford,,1965,SAJWA4DB8EL449752,9,E,TERTJIRZD
1966,Shelby,GT500,1968,WAUGGAFR9EA068379,4,A,KL9KQ3ECM
1967,Dodge,D350 Club,1992,WBALM53589E255367,4,D,CZPXBALK7
1968,Chevrolet,Monte Carlo,1973,WBAYF4C50FD991666,1,B,DXWSVOGNN
